experiment,samples,avg_power_kw,avg_kwh_per_kg,total_h2_kg
characterization_200.csv,18000,639.0458333333333,103.61904720900166,60.36511388887715
windIEA3.4-5ms-A_2-200.csv,3652,520.841730558598,269.8870783268045,10.304657222220607
windIEA3.4-5ms-A_2-400.csv,3652,520.2713581599123,365.4036474347809,10.287638888895607
windIEA3.4-5ms-C_2-200.csv,3652,487.3663745892662,115.08535973773823,9.794336666665187
windIEA3.4-5ms-C_2-400.csv,3652,486.34392113910184,114.61128940611994,9.777525277760525
windIEA3.4-7ms-A_1-200.csv,3591,671.0125313283208,105.4494038194514,12.776250000003396
windIEA3.4-7ms-A_1-400.csv,3591,671.4745196324144,128.8678065373879,12.757464444438284
windIEA3.4-7ms-C_1-200.csv,3591,646.5396825396825,52.6317925366054,12.481477777778883
windIEA3.4-7ms-C_1-400.csv,3591,646.2901698691172,53.06888186642997,12.423887500002566
windIEA3.4-9ms-A_1-200.csv,3591,881.233918128655,71.94358185988304,16.216161666664526
windIEA3.4-9ms-C_1-200.csv,3591,884.6532999164579,55.18214928641047,16.272551388873477
windIEA3.4-9ms-C_1-400.csv,3591,884.8050682261209,55.48783893219777,16.386159166647186
